,Номенклатура,КлассТовара
147,02f97fdb-e575-11df-9bf5-001517c526f0,Наиболее продаваемый
148,02f97fdc-e575-11df-9bf5-001517c526f0,Наиболее продаваемый
149,02f97fdd-e575-11df-9bf5-001517c526f0,Наиболее продаваемый
150,02f97fde-e575-11df-9bf5-001517c526f0,Средне продаваемый
151,02f97fdf-e575-11df-9bf5-001517c526f0,Средне продаваемый
152,02f97fe0-e575-11df-9bf5-001517c526f0,Наименее продаваемый
153,02f97fe1-e575-11df-9bf5-001517c526f0,Средне продаваемый
154,02f97fe2-e575-11df-9bf5-001517c526f0,Средне продаваемый
155,02f97fe3-e575-11df-9bf5-001517c526f0,Наименее продаваемый
156,02faf67a-e2d1-11de-9339-00151716f9f5,Средне продаваемый
157,02faf67b-e2d1-11de-9339-00151716f9f5,Средне продаваемый
158,0301c7c3-bde3-11de-bd70-00151716f9f5,Средне продаваемый
159,030bdda3-dcdb-11e0-8d28-001517c526f0,Средне продаваемый
160,030bdda4-dcdb-11e0-8d28-001517c526f0,Наименее продаваемый
161,030bdda5-dcdb-11e0-8d28-001517c526f0,Средне продаваемый
162,030bdda6-dcdb-11e0-8d28-001517c526f0,Средне продаваемый
163,030bdda7-dcdb-11e0-8d28-001517c526f0,Средне продаваемый
164,030e35af-d1f1-11db-b0e6-00001a1933df,Средне продаваемый
165,030e35b0-d1f1-11db-b0e6-00001a1933df,Наименее продаваемый
166,030f132b-56a7-11e0-94c3-001517c526f0,Средне продаваемый
167,032cda1a-0925-11de-8c13-00151716f9f5,Средне продаваемый
168,0331924b-daa9-11e0-bf16-001517c526f0,Наиболее продаваемый
169,0348de37-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
170,0348de38-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
171,0348de39-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
172,0348de3a-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
173,0348de3b-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
174,0348de3c-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
175,0348de3d-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
176,0348de3e-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
177,0348de3f-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
178,0348de40-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
179,0348de41-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
180,0348de44-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
181,0348de45-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
182,0348de46-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
183,0348de47-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
184,0348de48-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
185,0348de4f-dc43-11da-b3a6-0002b3552d75,Наименее продаваемый
186,0348de50-dc43-11da-b3a6-0002b3552d75,Наименее продаваемый
187,0348de51-dc43-11da-b3a6-0002b3552d75,Наименее продаваемый
188,0348de52-dc43-11da-b3a6-0002b3552d75,Средне продаваемый
189,034bc06a-b1bb-11e0-9b8d-00155d030b07,Средне продаваемый
190,034bc06c-b1bb-11e0-9b8d-00155d030b07,Наименее продаваемый
191,034bc06d-b1bb-11e0-9b8d-00155d030b07,Наименее продаваемый
192,0367ce21-505c-11dc-a79d-0016e68b97a6,Наименее продаваемый
193,036f443d-e0f4-11df-9815-001517c526f0,Средне продаваемый
194,036fdfd3-f851-11df-8ebf-001517c526f0,Средне продаваемый
195,036fdfd4-f851-11df-8ebf-001517c526f0,Средне продаваемый
196,036fdfd5-f851-11df-8ebf-001517c526f0,Средне продаваемый
197,036fdfd6-f851-11df-8ebf-001517c526f0,Средне продаваемый
198,036fdfd7-f851-11df-8ebf-001517c526f0,Средне продаваемый
199,0393aec9-3aca-11df-b74e-001517c526f1,Средне продаваемый
200,0393aeca-3aca-11df-b74e-001517c526f1,Средне продаваемый
201,039d6232-c225-11e0-a89c-00155d030b07,Средне продаваемый
202,039d6233-c225-11e0-a89c-00155d030b07,Средне продаваемый
203,03a79653-6354-11dd-8db8-00151716f9f5,Средне продаваемый
204,03ac4464-1570-11dc-a4cd-00173147c81e,Наименее продаваемый
205,03af4ba0-3a30-11e0-911a-001517ea834c,Наименее продаваемый
206,03c268d8-b89b-11de-bd70-00151716f9f5,Средне продаваемый
207,03c268d9-b89b-11de-bd70-00151716f9f5,Средне продаваемый
208,03c268da-b89b-11de-bd70-00151716f9f5,Наименее продаваемый
209,03c4db77-4ad8-11e1-ae01-001517c526f0,Наименее продаваемый
210,03c4db78-4ad8-11e1-ae01-001517c526f0,Средне продаваемый
211,03c4db79-4ad8-11e1-ae01-001517c526f0,Средне продаваемый
212,03c4db7a-4ad8-11e1-ae01-001517c526f0,Наименее продаваемый
213,03c8a67e-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
214,03c8a680-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
215,03c8a683-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
216,03c8a684-bbe7-11e0-8b6e-00155d030b07,Наиболее продаваемый
217,03c8a687-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
218,03c8a688-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
219,03c8a689-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
220,03c8a68b-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
221,03c8a68d-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
222,03c8a68e-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
223,03c8a68f-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
224,03c8a690-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
225,03c8a691-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
226,03c8a692-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
227,03c8a693-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
228,03c8a694-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
229,03c8a695-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
230,03c8a696-bbe7-11e0-8b6e-00155d030b07,Наименее продаваемый
231,03c8a697-bbe7-11e0-8b6e-00155d030b07,Средне продаваемый
232,03c8a698-bbe7-11e0-8b6e-00155d030b07,Наиболее продаваемый
233,03c8a699-bbe7-11e0-8b6e-00155d030b07,Наиболее продаваемый
234,03c8a69b-bbe7-11e0-8b6e-00155d030b07,Наименее продаваемый
235,03c8a69c-bbe7-11e0-8b6e-00155d030b07,Наименее продаваемый
236,03c9d2b1-7ae4-11e0-8368-001517c526f0,Средне продаваемый
237,03cbea6f-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
238,03cbea70-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
239,03cbea71-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
240,03cbea72-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
241,03cbea73-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
242,03cbea74-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
243,03cbea75-3a31-11e0-b0ec-001517c526f0,Средне продаваемый
